LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID9063,9063,79,385.0,254.42597402597403,304.88051948051947,0.0,129.0,129,11.070199012698888,1,,255.0,255.0,255.0,255.0,98175.0,0.0,1.0,Infinity,0.08931661429177985,0.03467289508858775,13.127312671573085,9.924332134126296,1.8484587177710843,1.3227401596559696,385.0000000000001,100.0,0.4838052686528283,0.8840413318025262,5.096471914376255
ID10794,10794,79,-1.0,179.6360544217687,336.37074829931976,0.0,124.0,124,5.0,1,,239.22680412371133,255.0,0.0,255.0,23205.0,61.74688000799446,0.2192475940507436,1.3933741365573347,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID9260,9260,79,188.0,420.68617021276594,260.06382978723406,0.0,145.0,145,7.735777827895049,1,,255.0,255.0,255.0,255.0,47940.0,0.0,1.0,Infinity,0.29381936555382154,-0.1583615884523199,8.99631806940611,6.954670340259923,2.947421823589162,1.2935649900365922,188.0,66.0,0.5423502469007172,0.9082125603864735,4.813544719430521
ID9005,9005,79,282.0,242.61347517730496,316.7695035460993,0.0,128.0,128,9.474354220939228,1,,255.0,255.0,255.0,255.0,71910.0,0.0,1.0,Infinity,0.4266065718620013,0.06676187441973347,11.160700738755187,8.327885451693371,0.013115510590267438,1.3401602127567447,282.0,82.0,0.527025061458847,0.9141004862236629,4.883028940238392
ID9326,9326,79,245.0,405.36326530612246,260.8530612244898,0.0,143.0,143,8.83096382707056,1,,255.0,255.0,255.0,255.0,62475.0,0.0,1.0,Infinity,-0.09360315279016392,-0.07753529597321174,10.334173609798576,7.496737121702994,-0.04674715783656654,1.3784895271145665,245.0,78.0,0.5060422091581193,0.9023941068139963,4.983237206999531
ID9136,9136,79,264.0,135.75757575757575,345.6515151515151,0.0,121.0,121,9.166995688475081,1,,255.0,255.0,255.0,255.0,67320.0,0.0,1.0,Infinity,-0.3507316056033321,-0.2656365333568871,10.49228105209372,8.800906911611811,0.6544743816212009,1.1921818009744347,264.0,82.0,0.4933851639189205,0.8543689320388349,5.046751130152642
ID9137,9137,79,332.0,327.3343373493976,285.62048192771084,0.0,134.0,134,10.280023453913834,1,,255.0,255.0,255.0,255.0,84660.0,0.0,0.9801192842942344,Infinity,0.04434681117104514,-0.3058940683645581,12.028602724344113,9.182457842256264,-0.05605815455422867,1.3099545819846106,332.0,86.0,0.5640934348252089,0.9273743016759775,4.719863179556685
ID8689,8689,79,96.0,4.489583333333333,349.34375,0.0,106.0,106,5.527906391541368,1,,255.0,255.0,255.0,255.0,24480.0,0.0,0.6941176470588234,Infinity,-0.5076502371844204,0.05214403123588531,6.964686531421194,4.731407705748473,2.456553997632475,1.4720114952172427,96.0,48.0,0.5235987755982988,0.9142857142857141,4.898979485566357
ID9268,9268,79,374.0,298.668449197861,289.26737967914437,0.0,132.0,132,10.91090726900095,1,,255.0,255.0,255.0,255.0,95370.0,0.0,1.0,Infinity,0.020498240785384127,0.12013536922742334,13.090506707008387,9.513320056436088,-1.3849305434946686,1.3760187431255622,374.0000000000001,94.0,0.5318948177648632,0.8990384615384617,4.860624285953179
ID8756,8756,79,176.0,23.630681818181817,352.125,0.0,110.0,110,7.48482063701911,1,,255.0,255.0,255.0,255.0,44880.0,0.0,0.9962192816635161,Infinity,-0.2247933824767024,-0.07410338950446549,10.753975955687501,5.337091285968939,0.33272870299535273,2.0149507249312744,176.0,70.0,0.45136351594432944,0.8979591836734694,5.276448530110864
