LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID7992,7992,70,19,411.7368421,307.2631579,0,164,164,2.45924538,1,,255,255,255,255,4845,0,1.035714286,Infinity,0.025591009,0.078639011,2.993179984,2.35585566,2.396472087,1.270527747,19,24,0.414515697,0.791666667,5.505977613
ID8120,8120,70,21,300.3333333,278.5238095,0,191,191,2.585441473,1,,255,255,255,255,5355,0,1,Infinity,0.054893488,-0.19552749,3.80067015,1.975480016,1.442448557,1.923922347,21,26,0.390375418,0.79245283,5.673665146
ID8376,8376,70,-1,339.5,280,0,194,194,3.999999985,1,,0,0,0,0,0,0,NaN,NaN,0,0,3.999999985,3.999999985,0,1,50.26548208,25.13274114,1,1,3.544907702
ID7994,7994,70,171,364.7836257,289.0818713,0,170,170,7.377736139,1,,255,255,255,255,43605,0,0.958015267,Infinity,-0.069093903,0.013244334,7.714894173,7.071191671,0.536188569,1.091031686,171,60,0.596902604,0.929347826,4.588314677
ID8123,8123,70,27,294.0740741,279.4814815,0,190,190,2.931615071,1,,255,255,255,255,6885,0,1,Infinity,-0.204543645,-0.165709276,3.993132035,2.31716925,1.374924297,1.723280264,27,30,0.376991118,0.771428571,5.773502692
ID8381,8381,70,-1,350,283,0,195,195,3.999999985,1,,0,0,0,0,0,0,NaN,NaN,0,0,3.999999985,3.999999985,0,1,50.26548208,25.13274114,1,1,3.544907702
ID7998,7998,70,159,356.8238994,286.163522,0,171,171,7.114159958,1,,255,255,255,255,40545,0,1,Infinity,0.084822523,0.2737388,8.815446557,6.099690896,0.362444704,1.445228407,159,66,0.458689836,0.876033058,5.234140466
ID7873,7873,70,202,452.7722772,246.5346535,0,150,150,8.018640596,1,,255,255,255,255,51510,0,1,Infinity,0.03867845,0.073185186,9.547347964,6.84880133,0.160731458,1.394017362,202,66,0.582738031,0.916099773,4.643743795
ID7875,7875,70,199,447.6733668,249.7939698,0,151,151,7.958873498,1,,255,255,255,255,50745,0,1,Infinity,-0.097648753,-0.052906695,8.975661957,7.154758024,0.132126226,1.254502518,199,66,0.574083506,0.929906542,4.678615953
ID7879,7879,70,186,444.7526882,251.8010753,0,152,152,7.694520052,1,,255,255,255,255,47430,0,1,Infinity,-0.006245362,0.040364397,8.525351226,7.018799737,-0.099941527,1.214645174,186,66,0.536580563,0.916256158,4.839354796
